image_id,age,max_intensity,mean_intensity,median_intensity,minimum_intensity,sigma_intensity,sum_intensity,variance_intensity,flatness,elongation,sphericity,solidity,bbox_width,bbox_height,bbox_depth,equivalent_ellipsoid_diameter_depth,equivalent_ellipsoid_diameter_width,equivalent_ellipsoid_diameter_height,equivalent_spherical_perimeter,equivalent_spherical_radius,feret_diamter,perimeter_2d,major_axis_length_2d,minor_axis_length_2d,surface_area,bbox_volume,convex_volume_rescaled,volume,label,genotype,summed_volume
10,245.0,843.3,332.5824318308982,279.3984375,140.4,156.30656310526768,223415.0,36526.83510910438,1.3683422071683975,1.7438047294247128,0.888358313244342,0.8209039665685193,2.7455000000000003,3.6822,2.3579,1.7771281386667617,2.267145554445308,4.189917511786581,77.72046427714362,1.2623996485133868,4.1596732665465925,10.78182508496946,3.93126908628021,2.0102857939389285,34.07116234454079,46.0048741084,20.903035020100003,15.6225165812,10,cpfl,340.3524967
11,245.0,557.2105263157895,279.1976161245066,252.6716694078948,150.0,98.58577865353789,39635.21052631579,13333.290076189189,1.3582807511295305,1.62780600027107,1.0426738145039114,0.853292963804138,1.785,2.074,1.734,1.225971524131624,1.6808392693804477,2.7755198447324974,34.3027207947403,0.8748370305201059,2.4752748570653185,6.389994693284419,2.51229640053986,1.3094793032541066,13.341061302448274,9.871818638,5.776592401,4.191000259,19,cpfl,344.66587487600003
12,245.0,792.5,327.1413919270552,290.77734375,164.16666666666666,130.07419730306435,105132.0,29858.45987905393,1.1798321697458776,2.0462842926280143,0.8208707817012965,0.7694732539412391,2.4225,3.337666666666667,1.8303333333333327,1.5605181513792503,1.825351429227126,3.6893935098695234,54.03906324148354,1.0864895189736183,3.483112229725817,9.386959989484554,3.639642278378058,1.831799324691164,25.93938325779534,24.66713144400001,12.226854543166668,8.379635727333334,6,cpfl,348.47377904700005
13,30.0,500.0263157894737,266.3749447010092,247.9086485745614,158.4561403508772,76.14361464313247,69789.59649122808,10201.42785676183,1.32239305670081,1.6623156102419288,0.8765223891226319,0.8026969576587843,2.204333333333333,2.705833333333333,2.1533333333333333,1.458024800140632,1.912910107517258,3.2409741242301164,47.84241255819239,1.0261534601641755,3.143591900328972,8.076676872142496,3.0846141364477506,1.6501667288504205,22.987484394403698,22.901815211333336,10.100612135,7.004805553500001,114,cpfl,873.425382373
14,30.0,613.2258064516129,307.00190871400895,283.2684811827957,173.6236559139785,95.58027861144048,106699.23655913978,13787.758142521168,1.4231691231572463,1.7472922594885731,0.861961584047733,0.806004998175438,2.427709677419355,3.2820967741935485,2.2714193548387094,1.5549856530513493,2.1414520495315363,3.877389722361316,59.34411085284763,1.147056623787596,3.740950835749288,9.42734014813075,3.791790045416029,1.7052215217243594,28.41734632437665,29.59686179383871,13.752516405569894,9.557263337548388,93,cpfl,1081.478482831
15,30.0,609.6352201257862,293.46446821852703,268.6596526139937,164.25157232704402,95.11447021201177,108473.4779874214,15582.110595907448,1.3906853059028754,1.6919390125222222,0.91065297775388,0.7902773994485855,2.46414465408805,3.3051635220125783,2.183805031446541,1.5690179266171755,2.147999913877836,3.752861153288805,60.48036004409568,1.1446632873941736,3.6439342161212007,9.924098627129093,3.690787351550316,1.863891095283794,30.134429476481632,31.76898822955346,15.27909097210063,10.058402852534591,159,cpfl,3034.7648312190004
16,70.0,738.5555555555555,329.3727703702339,287.734375,167.19444444444446,126.75215767476766,146858.55555555556,27390.55905871677,1.3039158155527797,1.8005171868359322,0.902314680299736,0.8099159783163862,2.6737222222222226,3.0685,2.2789444444444444,1.6162064498526585,2.0419154820342977,3.89521087384904,62.58995509032772,1.153840465090707,3.6536435606702207,9.360690191864826,3.708558689783597,1.7350712372624042,31.10535925787702,33.25176496225001,15.63974013988889,10.84616165913889,36,cpfl,594.808110817
17,70.0,772.1272727272727,338.7168535853231,288.95383522727275,161.29090909090908,147.0095331195775,160749.34545454546,41634.06656818806,1.3809542947182227,1.5455201439537276,1.0186891749595184,0.8130989964121351,2.407818181818182,2.8835090909090906,2.3197272727272726,1.6232402787286588,2.1948225056253023,3.421875407895643,62.32886832907965,1.1391998570358102,3.3155274909875745,8.959614457401127,3.3210309468570687,1.806375819585512,28.87993140258992,31.07409104434545,15.395819148654546,10.880251370654548,55,cpfl,1254.148402939
18,70.0,958.4375,399.0396334424631,340.2391357421875,180.59375,177.73503018642745,180934.109375,54002.97781379398,1.363001478732618,1.8322319057090608,0.9878299170282576,0.8114780277337145,2.4225,3.56309375,2.3619375,1.6634572506507397,2.2223135960971105,4.179388978871934,67.53867744258625,1.207010626832829,4.030272047642403,10.199376086564014,4.038330936517268,1.8208389352770795,32.34937022795763,33.73881022748438,17.486241360468753,11.780703529031252,64,cpfl,1300.146537394
19,8.0,814.90625,335.8109016446625,297.44482421875,159.76041666666666,137.5663804977718,105575.69791666669,29827.236878184733,1.412265364233008,1.683522740178703,0.828536338668571,0.7667488169736156,2.9541041666666668,2.728677083333334,2.123052083333333,1.5191446559135873,2.150056605478192,3.559256314172053,55.71193920570561,1.1138387811874382,3.4955772388841595,9.912225437571724,3.5655578061662623,1.9925356270406949,28.18379421986593,29.87526881357292,14.103075763114584,8.732765483604167,96,wt,1025.7752474800002
20,8.0,948.4651162790698,377.4038816123532,325.5662699854651,169.6046511627907,169.91641404460043,125210.52713178296,40416.07603772769,1.3892401900479383,1.5715295516120735,0.8856580057663527,0.7911642976819665,2.989627906976744,2.4588062015503875,2.3661627906976745,1.5665243119281709,2.1569550931745742,3.4975492330164983,56.80450651348718,1.1165131778032389,3.4843464712665853,9.36289282964275,3.416450142364137,1.881659166509846,29.78825578982741,36.501753832899226,15.67204519688372,9.185520639697677,129,wt,1187.425834279
