biol_repl,label,age,maximum,mean,median,minimum,sigma,sum,variance,flatness,elongation,sphericity,solidity,bbox_3_rescaled,bbox_4_rescaled,bbox_5_rescaled,equivalent_ellipsoid_diameter_0_rescaled,equivalent_ellipsoid_diameter_1_rescaled,equivalent_ellipsoid_diameter_2_rescaled,equivalent_spherical_perimeter_rescaled,equivalent_spherical_radius_rescaled,feret_diameter_rescaled,perimeter_2d_rescaled,major_axis_length_2d_rescaled,minor_axis_length_2d_rescaled,surface_area_rescaled,bbox_volume_rescaled,convex_volume_rescaled,volume_rescaled,summed_volume_mean
11.0,202.66666666666663,12.0,283.3270045972054,144.76311347162485,133.38325772243005,81.7423750781003,44.301345099079846,33748.44238190854,2914.65369595819,1.6937530046249112,1.995449418235314,0.9218902278688136,0.8249946269698886,1.740839465043937,1.9914313498009324,3.568840332621381,1.249335098432241,2.1038758769325754,3.8767768156972,49.47839789964943,1.0707634162126016,3.5592553303425576,6.010577434314423,2.355762500158059,1.2837150680664215,22.299383082351813,18.234393029434965,9.383837148247972,6.928229082960972,1407.9472935270003
12.0,159.0,12.0,373.07473947806807,201.70197713448104,188.15146955795868,119.73293592829408,56.72703813846547,37653.47834062152,4813.898441343138,1.8346324938616725,1.8828804203974296,0.909033144239746,0.8277620183362333,1.4807974742463774,2.057527957302882,3.3216504933303934,1.129747434476034,2.057227080041697,3.625424345744373,43.17305699262065,1.0048954482897214,3.299990303158341,5.648188851772344,2.319638936059308,1.1382935017343787,19.58136478901841,14.454754007780602,7.461862165086823,5.580943900125732,901.6420646076667
13.0,254.66666666666663,14.0,759.902537298209,342.48971353778614,307.3037422883719,171.84468348153646,125.43689361559444,153525.17214780927,24512.30686526273,1.7375615655508572,1.929360623431695,0.8132224605699342,0.7791094642500306,2.1340165114346163,2.8009690420371745,4.166571601795606,1.4181684549291331,2.4557616402869376,4.557399367927785,68.9344752134471,1.2421185162514747,4.490888280320266,8.12693784040247,3.2333240347680845,1.5500825249263572,36.95459658416112,44.92793735115478,18.27065892723884,11.820022621117303,4178.495245954667
14.0,214.0,14.0,761.3461698939603,350.57905906285663,315.28495762376093,176.18288493510485,126.46269265720296,170158.19455785377,26515.80058458667,1.867659910112493,1.7452638968222118,0.8403486312381482,0.7879840844479555,2.509317221314109,2.853881466113416,3.719201408343462,1.4424451998529266,2.6754762633429774,4.434152457795679,72.23240769515523,1.26888610474811,4.310328358980301,8.73558914099849,3.567228741968661,1.5563469621238255,37.49296273505414,46.38894684626036,19.00328327855241,12.69351220238564,4084.645572359667
15.0,168.0,14.0,760.166930935719,336.8346436060449,300.7256063286164,168.76333687660554,126.13910288799453,143927.16436294917,23782.15575023627,1.9561040429819745,1.7889031392346102,0.7695824211939585,0.7832874523213059,2.455300994773674,2.7816265585968645,3.919710339563587,1.372453317089824,2.6630797827611805,4.52768914202917,69.210098266767,1.2540402752121589,4.404104761718845,8.364336169528832,3.471543341394298,1.4803204707993476,36.67822114327165,45.010130957890425,17.34411638583224,11.70929735075753,3253.264394447
16.0,103.66666666666669,14.0,506.97124077288817,244.98654339939003,224.1001087288446,131.89678134985843,80.64519013075778,87233.53054480955,9742.752743024656,2.035516611553278,1.8201787481776508,0.771429578470921,0.7954029421123249,2.4375982022263543,2.1873055500895453,3.8269737837554754,1.2607346723742356,2.5066215490646084,4.301490217426648,60.61069447143967,1.1743312717482812,4.0830379467904585,7.373051286823873,3.0787851646114954,1.331173874666946,31.47862961927503,31.35580167652958,13.589754386519436,9.627029746339003,966.163013157
17.0,280.0,16.0,659.9537793956232,322.3340592296633,295.3638465592037,174.96643227618188,104.09210647204436,121614.46059999634,17417.32711281114,1.6990242133789395,1.799622454838817,0.8489575516172025,0.7930075981121583,2.226434848897461,2.481545120758222,3.590828441696772,1.3944527510398697,2.3699521226677125,4.0372888346914735,61.63322752401877,1.1721932554801242,3.888218413518117,7.681175553095151,3.0343966536829576,1.490704950420417,31.637439190708164,35.10104187797264,15.217373497728277,10.056162836363178,4694.4718775030005
18.0,252.66666666666663,16.0,605.4409486166008,293.71283946918385,269.3976233119236,160.23433465085637,94.1226645761894,112827.65401844532,12806.524724789788,1.9006846205904644,1.804665835476577,0.7775933258923212,0.7727289255308699,2.403545559947299,2.770650592885376,3.80286326745718,1.347373558268119,2.532070742394493,4.381668408974182,65.45578221458135,1.2154699150158736,4.280238758141955,8.459233446910263,3.4723787696230697,1.459213256411301,35.74262339179683,44.9489293663326,16.87855976798717,10.80199680216506,3199.0326500883334
19.0,191.66666666666663,16.0,487.14271702433416,284.91345722685537,270.6760276869802,180.95367655066715,65.0307777376043,99344.90752974364,6593.526891546549,1.9307038579120608,1.911792463496733,0.7677796707710073,0.7621242355877343,1.9598061270974607,3.288448176732622,3.6017034892832576,1.2730252530706163,2.436668456017581,4.495289803668264,62.106468534845135,1.1829990868215952,4.317666299802645,8.682059297790737,3.727130846118102,1.375089388070636,34.76310346715987,39.08490788470548,15.878400870452271,10.03387293263096,2834.013021944333
20.0,172.33333333333334,16.0,585.60596372178,343.35175403866305,327.1031062024105,215.85089706934937,76.57858409276294,145108.076862452,9353.818725096537,1.9209944441511155,1.866491303748793,0.7787845903560435,0.760330997000755,2.071991670983619,3.4610828814044137,3.750696886257855,1.349630178736864,2.599714168783415,4.665190082391454,70.02291279869303,1.2486409543575834,4.502521296798163,9.338746267848604,3.907362456249111,1.4680843604653866,40.11757988913185,45.892136324437246,19.78715468961249,12.119356042237134,3246.502275535667
21.0,235.66666666666663,20.0,638.7143102760124,330.62450921808244,307.5886050638253,189.26472014982653,95.06531419150872,144861.20684913982,14389.088407319708,1.7749089790227142,1.912540315900617,0.8143293535798345,0.7763846294780191,2.1317909096026115,3.0499954217964853,3.865766030620286,1.4057412363344073,2.480499159430906,4.5404139369583065,69.1332303610006,1.2377046739100663,4.415456656471616,8.732431984157197,3.541535594794464,1.5172218055281752,37.29703186970207,45.15450287741779,19.26725068990841,12.02396976978,5628.958519680001
22.0,214.66666666666663,20.0,587.3066337658028,310.8849222027323,291.0008079896247,179.444040591843,86.02105006755376,133373.28457638656,11568.84655832865,1.9271297005078896,1.8024464151110384,0.7404507232420166,0.7632387618936017,2.16689585809788,3.360763527792171,3.699964474940819,1.358563940263344,2.578880523666855,4.53945447850393,68.88804166214642,1.2390797702891234,4.435386918342014,9.24265402509297,3.8210682845649337,1.475658912361548,39.13626060123137,48.22330290177323,19.36281941359029,11.868213423350808,4700.155651870334
23.0,211.0,20.0,556.01345542509,311.769955059998,293.22448107944206,189.49190721181628,79.0540612790261,113309.86988737824,10058.366799499316,1.830338122361498,1.9174129996323344,0.7613333676630991,0.7576947596874003,2.1567493904024686,3.4277511490305552,3.378957580065394,1.3359789241693116,2.3954671562734706,4.540412018904852,63.59858156774578,1.1975134255499087,4.3672636660053,9.248035529958662,3.9546486235626777,1.4628249061262972,35.93900607506374,42.85936573804512,16.96713948993438,10.395305362638808,3613.341610097667
24.0,199.66666666666663,20.0,517.443215273357,287.1200600239509,270.5656868434101,170.61038650567113,74.24119465004988,131538.06181078916,9111.46229368967,1.9336948343563949,1.8806777244537631,0.736262113345477,0.7546961264818476,2.2176400230849267,3.675321842892444,3.534848011770061,1.3508187073431397,2.590658161726321,4.797080950604113,71.29932557536915,1.2578423023067202,4.618221805021824,9.72574910300204,4.222688042190481,1.500705125707971,40.62519284946616,49.3142682709372,20.18753665713568,12.503472996171633,4159.5568199006675
25.0,162.66666666666666,24.0,570.0744608560213,315.61654630587674,296.8272451854589,189.6688427873688,82.8819450084679,108593.1425535366,11436.298595841596,1.7878912079111338,1.929737761301077,0.8609298198957817,0.7817682236288261,2.0334985051763463,3.0729073617357385,3.3122813824814217,1.284931018022112,2.252469966490892,4.361789177855771,59.13035244904824,1.1409462598881517,4.161007856531769,8.512569494475414,3.6044245941648274,1.4038363008687895,32.0704212017938,39.17277902737557,15.940432206590003,9.694035436297042,7665.603147870334
26.0,184.66666666666663,24.0,667.0737434568956,347.0360766679399,321.6500440136437,198.96928123775947,102.0269780437075,124673.14365229856,17740.294059951168,1.6636555290459796,1.8123694300973072,0.8123681825101686,0.7881466149650845,2.278375928942777,2.555285486326247,3.3610188374639463,1.3781519715450188,2.2638779342701825,4.009871957778913,59.34314083252429,1.1438920261585082,3.857840959303592,7.870040732108888,3.158465678623766,1.466310462123113,31.01619817999673,36.53838941347557,15.04023863932798,9.695456997483022,8460.253214753
27.0,185.0,24.0,643.8211032238983,328.8006993031991,303.7772078573277,185.6691407867495,98.88434941694888,133497.7626885537,16152.887730896337,1.7768359121612811,1.9027202612828644,0.8298074607761708,0.7829494796043085,2.0972176959479447,3.087033569949719,3.5978455072463773,1.3835556336136834,2.4169731749434544,4.481441236260218,65.87690650608394,1.2104288928577414,4.2826553452252645,8.592419158479716,3.560889087197863,1.462503877831123,34.87658223188225,40.78493460853007,17.25152389826289,11.143114837847994,6831.829393000667
28.0,159.66666666666666,24.0,636.8458587758113,326.353145635616,304.5520352945244,184.8131751474926,93.84941693882912,165106.91227249263,13922.875137464824,1.8044770328498967,1.900242715951116,0.7571362745447097,0.7437449699924663,2.479640986725664,3.629375684365782,3.877394724004425,1.4808945724166287,2.618186571640204,4.827826838801323,77.2367799586964,1.3070025887011725,4.853150780049269,10.425589038514676,4.226525042010849,1.6644757417567704,45.558002252991486,63.22002272087655,25.043037333332634,14.13749213745072,4478.881597992667
